trial	choice	gain	loss	subjID
2	4	50	0	44744
3	4	50	0	44744
4	4	50	0	44744
5	4	50	0	44744
6	4	50	-250	44744
7	4	50	0	44744
8	4	50	0	44744
9	4	50	0	44744
10	2	100	0	44744
11	2	100	0	44744
12	2	100	0	44744
13	2	100	0	44744
14	2	100	0	44744
15	2	100	0	44744
16	2	100	0	44744
17	2	100	0	44744
18	1	100	0	44744
19	1	100	0	44744
20	1	100	-300	44744
21	2	100	-1250	44744
22	1	100	-150	44744
23	3	50	-50	44744
24	2	100	0	44744
25	2	100	0	44744
26	2	100	0	44744
27	2	100	0	44744
28	2	100	0	44744
29	2	100	0	44744
30	2	100	0	44744
31	2	100	0	44744
32	2	100	0	44744
33	2	100	0	44744
34	2	100	-1250	44744
35	4	50	0	44744
36	4	50	0	44744
37	4	50	-250	44744
38	2	100	0	44744
39	2	100	0	44744
40	2	100	0	44744
41	1	100	0	44744
42	1	100	0	44744
43	2	100	0	44744
44	2	100	0	44744
45	1	100	0	44744
46	1	100	-250	44744
47	2	100	0	44744
48	3	50	0	44744
49	3	50	-75	44744
50	4	50	0	44744
51	4	50	0	44744
52	4	50	0	44744
53	4	50	0	44744
54	2	100	-1250	44744
55	4	50	0	44744
56	1	100	-200	44744
57	1	100	-350	44744
58	2	100	0	44744
59	2	100	0	44744
60	2	100	0	44744
61	2	100	0	44744
62	2	100	-1250	44744
63	3	50	0	44744
64	3	50	-25	44744
65	4	50	0	44744
66	4	50	0	44744
67	4	50	0	44744
68	4	50	-250	44744
69	2	100	0	44744
70	2	100	0	44744
71	2	100	0	44744
72	2	100	0	44744
73	2	100	0	44744
74	2	100	0	44744
75	2	100	0	44744
76	2	100	0	44744
77	1	100	0	44744
78	1	100	0	44744
79	1	100	-150	44744
80	2	100	0	44744
81	2	100	0	44744
82	2	100	0	44744
83	2	100	0	44744
84	2	100	0	44744
85	2	100	0	44744
86	2	100	0	44744
87	2	100	0	44744
88	3	50	-25	44744
89	2	100	-1250	44744
90	2	100	0	44744
91	2	100	0	44744
92	2	100	0	44744
93	2	100	0	44744
94	2	100	0	44744
95	2	100	0	44744
96	2	100	0	44744
97	2	100	0	44744
98	2	100	0	44744
99	2	100	0	44744
0	2	100	-1250	44744
1	3	50	0	44744
2	3	50	0	44744
3	4	50	0	44744
4	4	50	0	44744
5	1	100	-250	44744
6	1	100	-200	44744
7	2	100	0	44744
8	2	100	0	44744
9	2	100	0	44744
10	2	100	0	44744
11	5	50	-75	44744
12	5	50	-50	44744
13	5	50	0	44744
14	5	50	-75	44744
15	4	50	0	44744
16	4	50	0	44744
17	3	50	0	44744
18	3	50	-50	44744
19	2	100	0	44744
0	3	50	-75	44751
1	4	50	0	44751
2	4	50	0	44751
3	4	50	0	44751
4	4	50	0	44751
5	4	50	0	44751
6	2	100	0	44751
7	1	100	0	44751
8	2	100	0	44751
9	2	100	0	44751
10	2	100	0	44751
11	1	100	0	44751
12	2	100	0	44751
13	1	100	-300	44751
14	4	50	-250	44751
15	3	50	-50	44751
16	2	100	0	44751
17	1	100	-150	44751
18	2	100	0	44751
19	2	100	0	44751
20	2	100	-1250	44751
21	1	100	0	44751
22	3	50	0	44751
23	4	50	0	44751
24	1	100	0	44751
25	1	100	0	44751
26	2	100	0	44751
27	3	50	-75	44751
28	1	100	-250	44751
29	2	100	0	44751
30	4	50	0	44751
31	2	100	0	44751
32	2	100	0	44751
33	4	50	0	44751
34	1	100	-200	44751
35	2	100	0	44751
36	3	50	0	44751
37	3	50	-25	44751
38	3	50	-25	44751
39	4	50	0	44751
40	2	100	0	44751
41	1	100	-350	44751
42	2	100	0	44751
43	2	100	0	44751
44	2	100	0	44751
45	4	50	0	44751
46	4	50	-250	44751
47	3	50	0	44751
48	3	50	0	44751
49	3	50	0	44751
50	3	50	-50	44751
51	1	100	0	44751
52	2	100	0	44751
53	2	100	-1250	44751
54	1	100	0	44751
55	2	100	0	44751
56	2	100	0	44751
57	1	100	-150	44751
58	3	50	-75	44751
59	4	50	0	44751
60	4	50	0	44751
61	2	100	0	44751
62	3	50	0	44751
63	1	100	-250	44751
64	2	100	0	44751
65	3	50	0	44751
66	4	50	0	44751
67	2	100	0	44751
68	1	100	-200	44751
69	3	50	-50	44751
70	2	100	0	44751
71	4	50	0	44751
72	2	100	-1250	44751
73	3	50	-25	44751
74	2	100	0	44751
75	2	100	0	44751
76	2	100	0	44751
77	2	100	0	44751
78	2	100	-1250	44751
79	3	50	-50	44751
80	1	100	0	44751
81	1	100	-350	44751
82	2	100	0	44751
83	2	100	0	44751
84	4	50	0	44751
85	3	50	0	44751
86	2	100	0	44751
87	1	100	0	44751
88	2	100	0	44751
89	3	50	0	44751
90	1	100	-300	44751
91	3	50	0	44751
92	4	50	0	44751
93	3	50	-50	44751
94	3	50	0	44751
95	3	50	-75	44751
96	3	50	-25	44751
97	3	50	0	44751
98	3	50	0	44751
99	3	50	0	44751
0	1	100	0	44751
1	2	100	0	44751
2	3	50	-75	44751
3	4	50	0	44751
4	5	50	-75	44751
5	1	100	0	44751
6	2	100	0	44751
7	2	100	0	44751
8	2	100	0	44751
9	2	100	0	44751
10	3	50	-25	44751
11	3	50	0	44751
12	3	50	-50	44751
13	3	50	-50	44751
14	3	50	0	44751
15	3	50	-50	44751
16	3	50	0	44751
17	3	50	-50	44751
18	3	50	0	44751
19	3	50	-50	44751
0	2	100	0	44761
1	4	50	0	44761
2	1	100	0	44761
3	3	50	-75	44761
4	4	50	0	44761
5	1	100	0	44761
6	2	100	0	44761
7	3	50	-50	44761
8	4	50	0	44761
9	4	50	0	44761
10	4	50	0	44761
11	4	50	-250	44761
12	2	100	0	44761
13	2	100	0	44761
14	3	50	0	44761
15	3	50	-75	44761
16	1	100	-300	44761
17	2	100	0	44761
18	2	100	0	44761
19	4	50	0	44761
20	4	50	0	44761
21	1	100	-150	44761
22	3	50	0	44761
23	4	50	0	44761
24	2	100	0	44761
25	3	50	-25	44761
26	4	50	0	44761
27	2	100	0	44761
28	4	50	0	44761
29	3	50	-25	44761
30	4	50	-250	44761
31	1	100	0	44761
32	3	50	0	44761
33	4	50	0	44761
34	4	50	0	44761
35	3	50	0	44761
36	2	100	-1250	44761
37	3	50	0	44761
38	4	50	0	44761
39	3	50	-50	44761
40	2	100	0	44761
41	1	100	0	44761
42	2	100	0	44761
43	3	50	-75	44761
44	2	100	0	44761
45	2	100	0	44761
46	1	100	0	44761
47	1	100	-250	44761
48	2	100	0	44761
49	4	50	0	44761
50	4	50	0	44761
51	4	50	0	44761
52	4	50	0	44761
53	4	50	0	44761
54	4	50	-250	44761
55	3	50	0	44761
56	3	50	0	44761
57	3	50	-50	44761
58	2	100	0	44761
59	2	100	0	44761
60	3	50	-25	44761
61	2	100	0	44761
62	3	50	-50	44761
63	2	100	0	44761
64	1	100	-200	44761
65	1	100	-350	44761
66	1	100	0	44761
67	2	100	0	44761
68	2	100	-1250	44761
69	3	50	0	44761
70	3	50	0	44761
71	2	100	0	44761
72	3	50	0	44761
73	3	50	-50	44761
74	3	50	0	44761
75	3	50	-75	44761
76	3	50	-25	44761
77	3	50	0	44761
78	3	50	0	44761
79	3	50	0	44761
80	4	50	0	44761
81	4	50	0	44761
82	4	50	0	44761
83	4	50	0	44761
84	4	50	0	44761
85	4	50	0	44761
86	4	50	0	44761
87	4	50	0	44761
88	4	50	0	44761
89	4	50	-250	44761
90	3	50	-75	44761
91	2	100	0	44761
92	2	100	0	44761
93	2	100	0	44761
94	2	100	0	44761
95	2	100	0	44761
96	2	100	-1250	44761
97	2	100	0	44761
98	3	50	-25	44761
99	3	50	0	44761
0	5	50	-75	44761
1	4	50	0	44761
2	4	50	0	44761
3	4	50	0	44761
4	4	50	0	44761
5	4	50	0	44761
6	3	50	-50	44761
7	2	100	0	44761
8	2	100	0	44761
9	2	100	0	44761
10	2	100	-1250	44761
11	5	50	-50	44761
12	5	50	0	44761
13	5	50	-75	44761
14	5	50	0	44761
